id,question,category,subcategory,intent,product_feature,response,related_articles,tags
44,Can I get a copy of our Service Level Agreement?,General Inquiry,Legal & Compliance,SLA Request,System Status & Reliability,"Yes, you can access our Service Level Agreement (SLA) in your account. Go to 'Settings' > 'Legal & Compliance' > 'Service Agreements'. You can view and download the SLA applicable to your plan. For custom SLAs, please contact your account manager.",https://www.example.com/legal/service-level-agreement,"SLA, legal, compliance"
45,How do I customize the dashboard?,Technical,Customization,Dashboard Customization,Reporting & Analytics,"To customize your dashboard, go to 'Dashboard' and click 'Customize' in the top right. You can add, remove, or rearrange widgets by dragging and dropping. Click on individual widgets to configure their settings. Don't forget to save your changes when done.",https://help.example.com/features/dashboard-customization,"dashboard, customization, widgets"
46,What payment currencies do you support?,Billing,Payment Options,Currency Information,Billing & Invoicing,"We support payments in USD, EUR, GBP, CAD, and AUD. Your account will be billed in the currency you select during signup. To change your billing currency, please contact our support team. Note that changing currency may affect your pricing.",https://help.example.com/billing/supported-currencies,"currency, billing, international"
47,How do I set up webhooks?,Technical,API,Webhook Setup,API & Integrations,"To set up webhooks, go to 'Settings' > 'API & Integrations' > 'Webhooks'. Click 'Add Webhook', enter the destination URL, select the events you want to trigger the webhook, and save. You can test the webhook before activating it in your production environment.",https://developers.example.com/webhooks,"webhooks, API, integration"
48,What's your privacy policy?,General Inquiry,Legal & Compliance,Privacy Information,Data Management,"Our privacy policy outlines how we collect, use, and protect your data. It covers data processing, sharing practices, and your rights as a user. You can find the full policy on our website. We regularly update it to comply with the latest regulations.",https://www.example.com/privacy-policy,"privacy, data, legal"
49,How do I invite external collaborators?,Account,User Management,External Collaboration,Collaboration Tools,"To invite external collaborators, go to 'Settings' > 'User Management' > 'External Collaborators'. Click 'Invite Collaborator', enter their email, set permissions, and send the invite. External collaborators have limited access and are clearly marked in the system.",https://help.example.com/account/external-collaborators,"collaboration, external users, permissions"
50,How do I enable IP restrictions for my account?,Account,Security Settings,IP Restriction Setup,Authentication & Security,"To enable IP restrictions, go to 'Settings' > 'Security' > 'IP Restrictions'. Click 'Enable IP Restrictions' and add the IP addresses or ranges you want to allow. Remember to include your current IP to avoid locking yourself out. Save changes when done.",https://help.example.com/account/ip-restrictions,"IP restriction, security, access control"
51,Can I get a breakdown of my usage?,Billing,Usage Tracking,Usage Information,Billing & Invoicing,"Yes, you can view a detailed breakdown of your usage. Go to 'Settings' > 'Billing' > 'Usage Reports'. Here you'll find charts and tables showing your usage across different features. You can export this data or set up alerts for usage thresholds.",https://help.example.com/billing/usage-reports,"usage, billing, reports"
52,How do I set up SAML authentication?,Technical,Authentication,SAML Setup,Authentication & Security,"SAML authentication is available for Enterprise plans. To set it up, go to 'Settings' > 'Security' > 'SAML Configuration'. You'll need to enter your Identity Provider details, upload metadata, and configure assertions. Contact support if you need assistance.",https://help.example.com/account/saml-setup,"SAML, authentication, SSO"
53,What's your uptime history?,General Inquiry,Service Reliability,Uptime Information,System Status & Reliability,"We maintain a public status page that shows our uptime history and any past incidents. You can find this at status.example.com. We're proud to consistently achieve over 99.9% uptime. For specific uptime guarantees, please refer to our SLA.",https://status.example.com,"uptime, reliability, status"
54,How do I create a custom integration?,Technical,Integrations,Custom Integration,API & Integrations,"To create a custom integration, use our API and webhooks. Start by generating an API key in 'Settings' > 'API & Integrations'. Then, refer to our API documentation for available endpoints. For complex integrations, consider using our SDKs available in various programming languages.",https://developers.example.com/custom-integrations,"integration, API, development"
55,Can I transfer my subscription to another account?,Billing,Subscription Management,Transfer Subscription,Subscription Management,"Subscription transfers between accounts are handled on a case-by-case basis. Please contact our support team with details of both the current and intended account holders. We'll review your request and guide you through the process if it's approved.",https://help.example.com/billing/subscription-transfer,"subscription, transfer, account"
56,How do I set up automated workflows?,Technical,Automation,Workflow Setup,Process Automation,"To set up automated workflows, go to 'Automation' > 'Workflows' > 'Create Workflow'. Define your trigger event, set conditions, and add actions. You can use our visual workflow builder to connect steps. Test your workflow before activating it in production.",https://help.example.com/features/automated-workflows,"automation, workflow, productivity"
57,What certifications does your platform have?,General Inquiry,Security,Certification Information,Data Management,"We hold several industry-standard certifications including SOC 2 Type II, ISO 27001, and PCI DSS. We're also HIPAA compliant for customers in healthcare. You can find detailed information about our certifications and compliance on our security page.",https://www.example.com/security/certifications,"certifications, compliance, security"
58,How do I export all my data?,Account,Data Management,Full Data Export,Data Management,"To export all your data, go to 'Settings' > 'Account' > 'Data Export'. Click 'Request Full Export'. We'll prepare a complete export of your data in a standard format (usually CSV or JSON). This process may take several hours for large accounts.",https://help.example.com/account/full-data-export,"data export, backup, account closure"
59,Can I customize the login page?,Technical,Customization,Login Page Customization,Branding & Customization,"Login page customization is available for Enterprise plans. Go to 'Settings' > 'Branding' > 'Login Page'. Here you can upload your logo, set custom colors, and add a background image. Changes will be reflected on your unique login URL.",https://help.example.com/features/login-customization,"branding, customization, login"
60,What's your data residency policy?,General Inquiry,Privacy & Compliance,Data Residency Information,Data Management,"We offer data residency options for customers with specific geographic requirements. By default, data is stored in our US or EU data centers. For Enterprise customers, we can provide dedicated instances in specific regions. Contact sales for more information.",https://www.example.com/data-residency,"data residency, compliance, enterprise"
61,How do I set up role-based access control?,Account,User Management,RBAC Setup,User Roles & Permissions,"To set up role-based access control, go to 'Settings' > 'User Management' > 'Roles'. Create custom roles with specific permissions, then assign users to these roles. You can also modify existing roles. Changes to roles will affect all users assigned to them.",https://help.example.com/account/role-based-access,"RBAC, permissions, user management"
62,Do you offer volume discounts?,Billing,Pricing & Discounts,Volume Discount Information,Billing & Invoicing,"Yes, we offer volume discounts for large user counts or high usage volumes. These are typically negotiated for Enterprise plans. Please contact our sales team with details about your expected usage, and they'll provide a custom quote.",https://www.example.com/enterprise-pricing,"volume discount, pricing, enterprise"
63,How do I use the API to create new users?,Technical,API,User Creation via API,API & Integrations,"To create users via API, use the POST /users endpoint. Send a JSON payload with the user's details (email, name, role, etc.). You'll need to authenticate with an API key that has user management permissions. Refer to our API docs for full details and examples.",https://developers.example.com/api/users,"API, user management, integration"
64,What's your incident response process?,General Inquiry,Security,Incident Response Information,System Status & Reliability,"Our incident response process involves: 1) Detection and alerting, 2) Assessment and triage, 3) Containment and mitigation, 4) Customer communication, 5) Resolution and recovery, 6) Post-incident review. We commit to transparent communication throughout the process.",https://www.example.com/security/incident-response,"incident response, security, communication"
65,How do I set up custom domains?,Technical,Configuration,Custom Domain Setup,Branding & Customization,"To set up a custom domain, go to 'Settings' > 'Custom Domains' > 'Add Domain'. Enter your domain and follow the DNS configuration instructions. Once verified, you can use this domain for your account's public pages. SSL certificates are automatically provisioned.",https://help.example.com/features/custom-domains,"custom domain, branding, DNS"
66,Can I get an on-premise version of your software?,General Inquiry,Deployment Options,On-Premise Information,Deployment & Infrastructure,"We offer on-premise deployments for Enterprise customers with specific security or regulatory requirements. This involves a custom implementation process and may affect pricing and feature availability. Please contact our sales team to discuss your needs.",https://www.example.com/enterprise/on-premise,"on-premise, enterprise, deployment"
67,How do I configure SSO with Azure AD?,Technical,Authentication,Azure AD SSO Setup,Authentication & Security,"To configure SSO with Azure AD, go to 'Settings' > 'Security' > 'Single Sign-On'. Select Azure AD as your provider. You'll need to configure both our platform and Azure AD. We provide step-by-step instructions, including the necessary URLs and certificates.",https://help.example.com/account/azure-ad-sso,"SSO, Azure AD, authentication"
68,What's your refund policy for unused time?,Billing,Refunds,Prorated Refund Information,Billing & Invoicing,"We offer prorated refunds for unused time if you cancel an annual subscription early. Monthly subscriptions are not eligible for partial refunds. To request a refund, contact our billing support team with your account details and cancellation date.",https://help.example.com/billing/prorated-refunds,"refund, cancellation, billing"
69,How do I use the bulk import feature?,Technical,Data Management,Bulk Data Import,Data Management,"To use bulk import, go to 'Data' > 'Import' > 'Bulk Import'. Choose the data type you're importing, download our template CSV, fill it with your data, and upload. Review the preview, map fields if necessary, and confirm. Large imports run in the background.",https://help.example.com/features/bulk-import,"data import, CSV, bulk operations"
70,What's your approach to ethical AI use?,General Inquiry,Company Policies,AI Ethics Information,AI & Machine Learning,"We're committed to ethical AI use, following principles of fairness, transparency, privacy, and human oversight. We regularly audit our AI systems for bias, provide clear information on AI-driven features, and allow users to opt-out of AI processing where possible.",https://www.example.com/ai-ethics,"AI, ethics, privacy"
71,How do I set up multi-region failover?,Technical,Configuration,Failover Setup,System Status & Reliability,"Multi-region failover is available for Enterprise plans. Contact your account manager to enable this feature. Once activated, go to 'Settings' > 'Infrastructure' > 'Failover Configuration' to set your primary and secondary regions, and define failover policies.",https://help.example.com/enterprise/multi-region-failover,"failover, disaster recovery, enterprise"
72,Can I get a signed BAA for HIPAA compliance?,General Inquiry,Legal & Compliance,BAA Request,Data Management,"Yes, we offer Business Associate Agreements (BAA) for customers who require HIPAA compliance. This is typically part of our Enterprise plan. Contact your account manager or our sales team to initiate the BAA process. We'll review your needs and provide the agreement.",https://www.example.com/hipaa-compliance,"HIPAA, BAA, compliance"
73,How do I use the query builder for reports?,Technical,Reporting,Advanced Query Building,Reporting & Analytics,"To use the advanced query builder, go to 'Reports' > 'Custom Reports' > 'Query Builder'. Here you can write SQL-like queries to create complex reports. Use our visual query builder or write raw queries. You can join multiple data sources and apply various transformations.",https://help.example.com/features/advanced-query-builder,"reports, query, analytics"
74,What's your policy on third-party audits?,General Inquiry,Security,Audit Policy Information,Data Management,"We welcome third-party audits for Enterprise customers, subject to our security protocols. This typically involves signing an NDA and agreeing on the scope. We can provide our latest audit reports and certifications. For a third-party audit request, contact your account manager.",https://www.example.com/security/audits,"audit, security, compliance"
75,How do I set up a custom OAuth provider?,Technical,Authentication,OAuth Integration,Authentication & Security,"To set up a custom OAuth provider, go to 'Settings' > 'Security' > 'OAuth Providers' > 'Add Custom Provider'. You'll need to enter the provider's endpoints, client ID, and secret. Then, configure scopes and attribute mapping. Test the setup before enabling it for users.",https://help.example.com/account/custom-oauth,"OAuth, authentication, integration"
76,What's your policy on data deletion?,General Inquiry,Privacy & Compliance,Data Deletion Policy,Data Management,"When you request data deletion, we permanently remove your data from our active systems within 30 days. Backups are overwritten within 90 days. We provide a certificate of deletion upon request. Note that some data may be retained if required by law.",https://www.example.com/privacy/data-deletion,"data deletion, privacy, GDPR"
77,How do I set up a staging environment?,Technical,Development,Staging Setup,Deployment & Infrastructure,"To set up a staging environment, go to 'Settings' > 'Environments' > 'Create New'. Choose 'Staging' as the type. You can then clone your production data or start fresh. Use the provided subdomain or set up a custom domain for staging. Remember to set appropriate access controls.",https://help.example.com/development/staging-environment,"staging, development, testing"
78,Can I get an enterprise-wide license?,Billing,Licensing,Enterprise Licensing,Subscription Management,"Yes, we offer enterprise-wide licenses for large organizations. These typically include unlimited users, priority support, and custom terms. Contact our sales team with details about your organization's size and needs. We'll create a tailored enterprise license proposal.",https://www.example.com/enterprise-licensing,"enterprise, license, pricing"
79,How do I use the API pagination feature?,Technical,API,API Pagination,API & Integrations,"Our API uses cursor-based pagination for list endpoints. Include a 'limit' parameter to set the page size. The response includes a 'next_cursor' field if there are more results. To get the next page, include this cursor value in your next request as the 'cursor' parameter.",https://developers.example.com/api/pagination,"API, pagination, data retrieval"
80,What's your approach to sustainable computing?,General Inquiry,Company Policies,Sustainability Information,Corporate Responsibility,"We're committed to sustainable computing. Our data centers use renewable energy sources where possible. We optimize our algorithms for energy efficiency and use efficient hardware. We also offset our carbon footprint and are working towards carbon neutrality by 2025.",https://www.example.com/sustainability,"sustainability, green computing, CSR"
81,How do I set up custom alerts?,Technical,Monitoring,Alert Configuration,Notifications,"To set up custom alerts, go to 'Monitoring' > 'Alerts' > 'Create Alert'. Choose the metric to monitor, set thresholds, and define the alert message. You can send alerts via email, SMS, or integrate with tools like PagerDuty. Test your alert before saving it.",https://help.example.com/features/custom-alerts,"alerts, monitoring, notifications"
82,Do you offer academic or educational discounts?,Billing,Pricing & Discounts,Education Discount,Billing & Invoicing,"Yes, we offer discounts for academic institutions and educational projects. Eligible organizations can receive up to 50% off our standard pricing. To apply, contact our sales team with proof of your academic status. We'll review your application and provide a custom quote.",https://www.example.com/education-discounts,"education, discount, academic"
83,How do I implement row-level security?,Technical,Security,Row-Level Security Setup,Data Management,"To implement row-level security, use our data policies feature. Go to 'Settings' > 'Data Management' > 'Data Policies'. Create a new policy, define the conditions for data access, and apply it to specific tables or views. You can use user attributes in your policy definitions.",https://help.example.com/features/row-level-security,"security, data access, permissions"
84,What's your product roadmap?,General Inquiry,Product Information,Roadmap Inquiry,Product Roadmap,"We maintain a public roadmap of upcoming features and improvements. You can view it at example.com/roadmap. It's updated quarterly and includes both near-term and long-term plans. For Enterprise customers, we offer private roadmap sessions with our product team.",https://www.example.com/roadmap,"roadmap, features, development"
85,How do I set up A/B testing?,Technical,Analytics,A/B Test Configuration,Experimentation,"To set up A/B testing, go to 'Analytics' > 'A/B Tests' > 'Create Test'. Define your variants, set the audience split, and choose your success metrics. You can run tests on UI elements, features, or algorithms. Use our statistical engine to determine when results are significant.",https://help.example.com/features/ab-testing,"A/B testing, analytics, optimization"
86,What's your SLA for Enterprise customers?,General Inquiry,Service Level Agreement,Enterprise SLA Terms,System Status & Reliability,"Our Enterprise SLA typically guarantees 99.99% uptime, 24/7 support with 1-hour response time for critical issues, and financial penalties for any breaches. The exact terms can be customized based on your needs. Contact your account manager for your specific SLA details.",https://www.example.com/enterprise-sla,"SLA, enterprise, support"
87,How do I use the bulk update API?,Technical,API,Bulk Update Operations,API & Integrations,"To use the bulk update API, send a POST request to the /bulk-update endpoint with an array of objects to update. Each object should include an ID and the fields to update. The API processes these in batches for efficiency. Check the response for success status and any error details.",https://developers.example.com/api/bulk-update,"API, bulk update, data management"
88,Can you provide a SOC 2 report?,General Inquiry,Security,Compliance Documentation,Data Management,"Yes, we can provide our SOC 2 Type II report under a non-disclosure agreement (NDA). This report is updated annually and covers our security, availability, and confidentiality controls. Contact your account manager or our security team to request the report and initiate the NDA process.",https://www.example.com/security/soc2,"SOC 2, compliance, security"
89,How do I set up a custom error page?,Technical,Customization,Error Page Customization,Branding & Customization,"To set up a custom error page, go to 'Settings' > 'Branding' > 'Error Pages'. You can upload an HTML file for each error type (404, 500, etc.) or use our template editor. Ensure your custom pages include links back to your main application to help users navigate errors.",https://help.example.com/features/custom-error-pages,"error pages, branding, user experience"
90,What's your data encryption policy?,General Inquiry,Security,Encryption Information,Data Management,"We use industry-standard encryption for data at rest and in transit. All data is encrypted at rest using AES-256, and we use TLS 1.2+ for data in transit. Database backups are also encrypted. For Enterprise customers, we offer the option of customer-managed encryption keys.",https://www.example.com/security/encryption,"encryption, security, data protection"
91,How do I implement single logout?,Technical,Authentication,Single Logout Setup,Authentication & Security,"To implement single logout, go to 'Settings' > 'Security' > 'SSO Configuration' > 'Logout Settings'. Enable single logout and provide the logout URL for your identity provider. When a user logs out of your app, we'll send a logout request to this URL to end all associated sessions.",https://help.example.com/account/single-logout,"single logout, SSO, security"
92,Do you offer a bug bounty program?,General Inquiry,Security,Bug Bounty Information,System Status & Reliability,"Yes, we run a bug bounty program to encourage responsible disclosure of security vulnerabilities. Rewards vary based on the severity and impact of the reported issues. You can find details about the program, including scope and rules, on our security page.",https://www.example.com/security/bug-bounty,"bug bounty, security, vulnerability"
